No.,Tag,Namecode,Tree,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
105,1192,ACROPUBE,5,0,0,"2fb,1fl","2fb,2fl",3fl,3fl,1imft,1imft,0,2imft,"1imft,1fb",1ft
106,1224,ARGYTRIF,6,0,0,2imfb,2imfb,2fl,0,2imft?,2imft?,1imft?,2imft,1ft,0
107,1226,ARGYTRIF,3,0,0,4imfb,4imfb,3fl,0,2imft?,2imft?,1imft?,1imft,0,0
108,1281,EUPOLAUR,5,0,0,0,0,0,0,0,0,0,0,0,0
109,1282,ELATNERV,5,0,0,0,0,0,0,0,0,0,0,0,0
110,1279,SARCSTIP,4,0,0,0,0,0,0,0,0,3fb/fl,3fl/fb,1fl/imft?,2ft
111,1272,SARCSTIP,5,0,0,0,0,0,0,0,0,3fb/fl,3fl/fb,2imft,1ft
112,1248,ORITEXCE,3,3ft,3ft,[0?],[0],[0?],0,0,0,0,0,0,0
113,1252,LITSRETI,2,0,0,0,0,0,0,0,0,0,0,0,0
114,1255,ORITEXCE,4,2ft,2ft,[0?],[0],[0?],0,0,0,0,0,0,0
115,1262,BALOINOP,4,0,0,0,0,0,0,0,0,0,0,2imft,1imft?
116,1319,DORYSASS,4,0,0,0,0,0,0,0,0,0,0,0,0
117,1318,DIOSPENT,2,0,0,0,0,0,0,0,0,0,0,0,0
118,1313,ATRABENT,5,0,0,0,0,0,0,2fb?,"1fb,1fl",0,0,0,0
119,1287,POLYCUNN,,0,2imft,2imft,2imft,0,0,0,0,0,0,2fb,0
120,,CUPAFLAG,,0,0,0,0,0,0,0,0,0,0,0,2fb/fl
121,1290,ORITEXCE,,4ft,4ft,[0?],[0],[0?],0,0,0,0,0,0,0
122,5221.1,GUILMONO,,0,0,0,0,0,0,0,0,0,0,3imfb,4fl/fb
123,1340.1,GUILMONO,,2ft,2ft,1ft,0,0,0,0,0,0,2imfb,3imfb,4fl/fb
124,1343,DYSOFRAS,3,4ft,4ft,3ft,2ft,0,0,0,0,0,0,0,1ft
125,1349,DIPLAUST,5,0,0,0,0,0,0,0,0,2imfb,"3fl,fb",3imft,0?
126,,AKANBIDW,,0,0,0,0,0,0,0,0,0,0,0,0
127,988,DORYSASS,,0,0,0,0,0,0,0,0,0,0,0,0
128,1352,DYSOFRAS,4,4ft,4ft,4ft,2ft,0,0,0,0,0,0,0,0
129,1353,KARABENT,,5ft,5ft,5ft+,5ft+,[5ft],0,0,0,0,0,0,0
130,1390.1,PHALCHER,,2ft,2ft,0,0,0,0,0,0,0,0,0,0
131,958.1,ACROPUBE,,2fb,1fl,"2fb,1fl","2fb,1fl",1fl,0,1fb,1fb,0,0,1fb,0
132,1372,SYZYCREB,5,0,0,0,0,0,0,0,0,?imfb,2imfb,"2fb,fl",?2imft
133,15199,DYSORUFU,3,1imfb,0,0,0,1ft,2ft,1ft,1ft,1ft,1ft,"1ft,1imfb",1ft
134,1406,ARGYACAC,5,0,0,"3fb,fl","3fl,fb",1fl,0,0,0,0,0,0,0
135,1586,VITELIGN,4,0,0,1fl,1fl,1ft,0,0,1imft,0,0,0,0
136,1423,ANTHNITI,3,0,0,0,0,0,0,0,0,0,0,0,0
137,1414,DIOSPENT,3,1fl,0,0,0,0,0,0,0,0,0,0,0
138,1412,HALFKEND,2,3imfb,"2fb,fl",0?,2imft,2imft,2imft,0,0,0,1ft,0,0
139,1485.1,CUPAFLAG,,0,0,0,0,0,0,0,0,0,0,0,3fb/fl
140,1467,SARCSTIP,6,0,0,0,0,0,0,0,0,0,0,0,0
141,1462,DIOSPENT,4,1fl,0,0,0,0,0,0,0,0,0,0,0
142,1456,BALOINOP,5,0,0,0,0,1ft,0,0,0,2fl,"1fl,1ft",0,0
143,1457,VITELIGN,5,0,0,2fl,2fl,1fl,0,0,0,0,1ft,1ft,1ft
144,1453,DYSOFRAS,5,2fb?,1fb,0,0,0,0,0,0,0,1imft,?,0?
145,1450,ORITEXCE,5,3ft,3ft,[0?],[0],[0?],1imfb?,0,0,0,0,0,0
146,1513,ACROSUBE,2,3fl,1imft,2imft,3ft,2ft,0,0,0,0,0,0,0
147,1512,BEILELLI,1,0,0,0,0,0,0,0,0,0,0,0,0
148,1523,EMMEALPH,4,4ft,2ft,2ft,1ft,0,0,1imfb?,0,3imfb,2imfb?,2imft,2imft
149,2741,ATRABENT,,2imft,2ft,2ft,2ft,0,0,2fb?,0,0,0,0,0
150,1524,GUIOSEMI,2,0,0,0,0,0,0,0,0,0,0,0,0
151,1528,BRACACER,5,0,0,0,0,0,0,0,0,0,0,"2fb,fl",0
152,1596,DIOSPENT,5,0,0,0,0,0,0,0,0,0,0,0,0
153,1598,ARGYTRIF,5,0,0,0,0,0,0,0,0,0,0,0,0
154,1599,MISCAUST,4,0,0,0,0,0,0,0,0,0,0,0,0
155,,SARCSTIP,,0,0,0,0,0,0,0,0,1fb/fl?,1fl,0,0
156,,MELIMICR,,3fl,3imft,3imft,2ft,0,0,0,0,0,0,4imfb,4fb
